,PUMA,PUMA_CommunityDistrict,PUMA_neighborhoods,entropy_index_9,entropy_index_0,entropy_index_1,entropy_index_change_90_00,entropy_index_change_00_10,mean_entropy,median_inc_fam_9,median_rent_9,median_inc_fam_0,median_rent_0,median_inc_fam_1,median_rent_1,rent_income_ratio_9,rent_income_ratio_0,rent_income_ratio_1,inc_growth_90_00,inc_growth_00_10,rent_growth_90_00,rent_growth_00_10
29,3802,Manhattan Community District 9,"Hamilton Heights, Manhattanville & West Harlem PUMA",0.9513039294468958,0.9478774403557402,0.9800180867735947,-0.0036018868261669112,0.03390801916943187,0.959733152192077,23365.0,404.0,31926.0,583.0,42115.0,969.0,0.20614172847858125,0.23636651870640457,0.2584623181367063,0.3671731221913117,0.3277520188784404,0.5121555915721232,0.5629032258064517
30,3803,Manhattan Community District 10,Central Harlem PUMA,0.8803692286219417,0.8888450415644688,0.9773233764342372,0.00962756610177573,0.09954303701130685,0.9155125488735493,16422.0,316.0,25404.0,509.5,43386.5,812.5,0.21743863442390876,0.226430235608023,0.2311024008109307,0.49906785221756067,0.5336140830841523,0.618439000289989,0.6268942373236852
31,3804,Manhattan Community District 11,East Harlem PUMA,0.88165810773918,0.8924841332553601,0.9576046256766256,0.012279165156141136,0.07296543433633573,0.9105822888903886,16199.5,317.0,21482.5,467.0,32705.5,676.0,0.23007928261412097,0.23669574914298244,0.246026011376281,0.34798239381240803,0.4586753010844483,0.4386398218184224,0.535124767045042
32,3805,Manhattan Community District 8,Upper East Side PUMA,0.8114674420723224,0.799349903607513,0.7045706402636924,-0.014932870792528141,-0.1185704319423524,0.7717959953145094,88298.0,860.0,143223.0,1306.0,205250.0,1838.0,0.1068200865251761,0.11002799876266091,0.11364707597366311,0.36128873827415164,0.298317694742102,0.531868131868132,0.42158385093167694
33,3806,Manhattan Community District 7,Upper West Side & West Side PUMA,0.9122899170907375,0.8884301358152742,0.7676984474436308,-0.026153726823542445,-0.13589328356230634,0.8561395001165475,64837.0,615.5,118370.0,1082.0,186826.0,1620.0,0.10721803994248286,0.11119039335492435,0.10692712744441961,0.5726991213161977,0.52656055177225,0.6637931034482759,0.4557283215611173
34,3807,Manhattan Community District 4 & 5,"Chelsea, Clinton & Midtown Business District PUMA",0.9669126797276605,0.9534608185190311,0.8631629477354705,-0.01391217789430399,-0.09470538173117204,0.927845481994054,42344.0,578.0,70893.0,1101.0,109219.0,1759.0,0.15876923076923077,0.16680409942278243,0.1615103599190617,0.778620382010625,0.4678154923177895,0.7510288065843622,0.4155844155844155
35,3808,Manhattan Community District 6,"Murray Hill, Gramercy & Stuyvesant Town PUMA",0.8729028586184959,0.8732257964937071,0.7881687676894492,0.00036995854925070404,-0.09740553834505383,0.8447658076005508,75619.0,773.0,108266.0,1270.0,151267.0,1999.0,0.11790310370931113,0.14248324958123953,0.15112825779233396,0.4025522719308492,0.39195933669127614,0.6484751203852328,0.47024246877296116
36,3809,Manhattan Community District 3,Chinatown & Lower East Side PUMA,0.9131869974092881,0.9392860773205417,0.9747894461936747,0.02858021411309708,0.0377982488300177,0.9424208403078348,21307.0,375.5,30966.5,549.5,43869.0,841.0,0.20464137629753287,0.20627100468848847,0.24302177963379376,0.447134956946869,0.4669739448447481,0.4154858299595142,0.6527076725672513
37,3810,Manhattan Community District 1 & 2,"Battery Park City, Greenwich Village & Soho PUMA",0.9291585923494358,0.9030836578935284,0.7588277899349486,-0.028062953591135864,-0.15973699302129019,0.8636900133926376,68911.0,692.0,119064.0,1198.0,163000.0,1988.0,0.13179457587997692,0.13714800180063022,0.13114718283704369,0.7244332632215669,0.43397695927308133,0.8261738261738261,0.31653404067197166
38,4101,Queens Community District 1,Astoria & Long Island City PUMA,0.9188311727573968,0.9551853808296386,0.9756991103755794,0.0395657103830549,0.02147617620374742,0.9499052213208716,32014.0,573.0,40243.0,782.0,55729.0,1238.0,0.20479719935453874,0.22423775563452028,0.26895159089668724,0.22780885623778402,0.33387172924483766,0.3474264705882353,0.5608011444921317
39,4102,Queens Community District 3,Jackson Heights & North Corona PUMA,0.9215690233118172,0.953743900255701,0.9688724854117083,0.03491314934638079,0.015862313931393146,0.9480618029930755,35304.5,608.0,38773.5,791.5,50781.5,1213.0,0.21642146567399323,0.24075680214663403,0.29318263404938516,0.17100570771326007,0.19881793900725453,0.2920758856254223,0.5078145946031195
40,4103,Queens Community District 7,"Flushing, Murray Hill & Whitestone PUMA",0.9207416412243126,0.9639360878853623,0.9660240711613793,0.046912667709493316,0.002166101365286055,0.9502339334236848,42273.0,674.0,52656.0,858.0,66215.0,1374.0,0.1924388857305287,0.20231962835382233,0.24538511486967007,0.20551633557708104,0.2693704676561892,0.3004484304932735,0.49936628643852976
41,4104,Queens Community District 11,"Bayside, Douglaston & Little Neck PUMA",0.8941882500330168,0.9364251009906391,0.9202085160665677,0.047234853461855186,-0.017317546173117315,0.9169406223634079,52279.0,719.0,68352.0,935.0,83783.0,1399.0,0.15785092944690157,0.16991150442477876,0.20351873028119533,0.282696134468013,0.320966464219699,0.362517099863201,0.48863636363636354
42,4105,Queens Community District 13,"Queens Village, Cambria Heights & Rosedale PUMA",0.8750788522622311,0.9188101803160806,0.8998508347753474,0.04997415711829434,-0.020634670737116778,0.8979132891178864,50539.0,721.0,63141.0,827.0,86159.0,1256.0,0.1738306690349319,0.16358102967283794,0.1729670178337809,0.23986440677966092,0.32376314531548767,0.20027816411682897,0.49117341640706136
43,4106,Queens Community District 8,"Briarwood, Fresh Meadows & Hillcrest PUMA",0.907462450047382,0.964051168225336,0.9581507807164263,0.06235929450854871,-0.006120409064771182,0.9432214663297148,46900.5,602.5,54391.5,789.5,69983.0,1200.0,0.14910007921038132,0.18125114180714103,0.21463347341752315,0.15726404125208515,0.27849681771159274,0.39180956956661006,0.4440302386965431
44,4107,Queens Community District 4,Elmhurst & South Corona PUMA,0.9213969718223403,0.952910634605297,0.9643932542319619,0.03420204726810527,0.012050048776526712,0.9462336202198665,30893.0,627.0,37282.0,794.0,45227.0,1204.0,0.2327533680861147,0.24915169779085494,0.33413848631239934,0.1938848453340265,0.21746045771847666,0.29461756373937686,0.5463087248322147
45,4108,Queens Community District 6,Forest Hills & Rego Park PUMA,0.9261379249050715,0.9641954418463458,0.9323403663279061,0.04109270975505641,-0.03303798600980745,0.9408912443597744,47735.5,578.0,59231.0,855.5,82754.5,1287.5,0.1500726191408204,0.18235118157343702,0.18811429446075295,0.20648646970238005,0.4036494166915944,0.472105468940912,0.5067853785037556
46,4109,Queens Community District 2,Sunnyside & Woodside PUMA,0.9166630821085462,0.959010973552799,0.9615845562214315,0.04619788041080741,0.002683580000235386,0.9457528706275923,34968.0,534.0,40284.0,786.0,61250.0,1247.0,0.17894387246761873,0.22861465005791004,0.2571639303958259,0.17960810362005986,0.39581274868480776,0.4291417165668663,0.5925
47,4110,Queens Community District 5,"Ridgewood, Glendale & Middle Village PUMA",0.9087758910781666,0.9553942976656625,0.9551171329559791,0.051298023027644524,-0.00029010504915161217,0.9397624405666027,40385.0,564.0,51419.0,767.0,61563.0,1176.0,0.1764539541898388,0.1855268552685527,0.2409540883934835,0.25229869044302045,0.2959643428128482,0.350067842605156,0.5772357723577235
48,4111,Queens Community District 9,Richmond Hill & Woodhaven PUMA,0.9055885223308051,0.9530136137953173,0.9572182532518562,0.05236936013991156,0.004411940601555697,0.9386067964593262,41373.0,603.0,46360.5,794.5,60608.5,1207.0,0.1745127776251995,0.2075363549829854,0.23470185876372562,0.149942045739775,0.3199597899130536,0.3053451428636129,0.5234543491034986
49,4112,Queens Community District 12,"Jamaica, Hollis & St. Albans PUMA",0.9158222210243523,0.9499472159656157,0.9555383040359356,0.037261593088552036,0.0058856828846396425,0.9404359136753012,39231.0,615.0,47337.0,750.0,64405.0,1165.0,0.18587409810021843,0.19653239746477397,0.21852759475838995,0.1973559107167111,0.32449226166503653,0.24052478134110777,0.48232323232323226
50,4113,Queens Community District 10,Howard Beach & Ozone Park PUMA,0.893539943066534,0.9469662611534546,0.9510644826361473,0.05979175133857728,0.004327737587715985,0.9305235622853786,42131.0,635.0,51117.0,776.0,62279.0,1190.0,0.18018807952826674,0.18908582293419587,0.23907274752168953,0.1953632364237332,0.2539084090011843,0.2626811594202898,0.5646766169154229
51,4114,Queens Community District 14,"Far Rockaway, Breezy Point & Broad Channel PUMA",0.9428544553660563,0.9589751676161279,0.9726509165437456,0.017097773848682607,0.014260795680052452,0.9581601798419767,33010.0,490.5,37301.5,657.5,56530.0,978.0,0.17793094318166663,0.1919357588300361,0.20360468400687637,0.2309472810402664,0.4236924714418995,0.364172335600907,0.6097308488612836
52,3901,Staten Island Community District 3,"Tottenville, Great Kills & Annadale PUMA",0.8522997044322083,0.8971221985419124,0.8800442829746171,0.05259006177828529,-0.019036331499824644,0.8764887286495794,56084.0,651.0,73202.0,810.5,96240.0,1191.5,0.13387142388610543,0.1348704052385874,0.15034307459690915,0.2710843891678246,0.3183203744476011,0.30422783853714985,0.4659478509678713
53,3902,Staten Island Community District 2,New Springville & South Beach PUMA,0.894169784467809,0.9404726167601329,0.9283454173556666,0.05178304288137214,-0.012894792669502442,0.9209959395278696,50659.0,638.0,64866.0,797.5,83159.5,1164.5,0.1440039683763701,0.14014415074822595,0.15463645752297575,0.28660466214475133,0.3009000937381464,0.28208939445873527,0.41320183081584105
54,3903,Staten Island Community District 1,"Port Richmond, Stapleton & Mariner's Harbor PUMA",0.9125872496532828,0.9529562074093518,0.9534969720611567,0.04423572405970644,0.0005674601283882641,0.9396801430412638,47500.0,615.0,54618.0,757.0,69583.0,1203.0,0.15201283014271505,0.1567689406136437,0.20799604523265156,0.21950295857988156,0.23577177861671061,0.2627986348122866,0.568019093078759
